"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR"
"23237",25.1520590289443,-1.88047392221817,0.436936569602189,-4.91770457068744,8.75649292405465e-07,9.46806853591343e-05,"ARC","activity regulated cytoskeleton associated protein","protein-coding","23237","Down in ZIKV",6.05766979893469,4.02373860703137
"100131897",54.7596064846864,-1.15214024926674,0.27266003104919,-4.8637194551157,1.15200166118334e-06,0.000120898056687619,"INSYN2B","inhibitory synaptic factor family member 2B","protein-coding","100131897","Down in ZIKV",5.93854689466086,3.91758067992191
"105369559",55.339888226029,-1.10837978241112,0.262915166853241,-4.85245715448378,1.21941133794651e-06,0.000126117764899018,"LOC105369559","uncharacterized LOC105369559","ncRNA","105369559","Down in ZIKV",5.91384977127513,3.8992237345672
"374897",30.085565043624,-1.64381804524804,0.406819650091408,-4.70582501003694,2.52841334521161e-06,0.000250605561609423,"SBSN","suprabasin","protein-coding","374897","Down in ZIKV",5.5971519260897,3.60100929507578
"59344",22.0052760796558,-1.60659081129116,0.459176794737674,-4.24460556888739,2.18978257445278e-05,0.0017980442341522,"ALOXE3","arachidonate lipoxygenase 3","protein-coding","59344","Down in ZIKV",4.65959900452202,2.74519962828026
"56155",39.5917521730457,-1.09779203626154,0.325410594145816,-4.15453980326852,3.25942877425703e-05,0.00257494873166305,"TEX14","testis expressed 14, intercellular bridge forming factor","protein-coding","56155","Down in ZIKV",4.48685850481711,2.58923141352667
"26585",19.8236696917601,-1.64637683040391,0.517167309795115,-4.00475908410032,6.20807176569512e-05,0.00446002041717338,"GREM1","gremlin 1, DAN family BMP antagonist","protein-coding","26585","Down in ZIKV",4.20704327124967,2.35066315316108
"105379051",13.5844267048505,-1.93527285392999,0.618865475118791,-3.92686473641648,8.60603468396836e-05,0.00590533963298329,"LOC105379051","uncharacterized LOC105379051","ncRNA","105379051","Down in ZIKV",4.06519690795998,2.22875511981358
"83716",18.8931736881001,-1.39764134541524,0.491995414339555,-3.74177163572913,0.000182727525886917,0.0111453378966183,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","protein-coding","83716","Down in ZIKV",3.73819602604452,1.9529067603455
